Nanopore barcode ID,BC1,BC2
barcode01,sample51,sample91
barcode02,sample82,sample48
barcode03,sample65,sample70
barcode04,sample26_67,sample63
barcode07,sample85,sample3
barcode08,sample41,sample10
barcode09,sample47,sample64
barcode11,sample74,sample57
barcode12,sample12,sample89
barcode13,sample32,sample53
barcode14,sample76,sample87
barcode15,sample35,sample79
barcode18,sample25_91,sample67
barcode20,sample46,sample61
barcode21,sample83,sample69
barcode22,sample27_62,sample66
